,Num_Of_Machine,percentage,cpu_usage_mean,cpu_usage_median,cpu_usage_std,mem_usage_mean,mem_usage_median,mem_usage_std
A,1111,0.846153846,27.49602287,27.2,9.769170549,50.64374321,52.6,12.43487605
B,2,0.001523229,22.8799132,22.13999996,4.570929829,58.50420144,58.61999969,9.568045919
C,154,0.117288652,21.17344516,15.11999989,13.29389299,39.53448376,35.70000076,11.62756031
D,3,0,0,0,0,0,0,0
E,17,0.012947449,9.26123156,9.710000134,6.624046981,28.0428046,30.5,12.82355366
F,4,0.003046458,31.55832465,33.15000019,9.494129162,61.69237846,57.01999969,15.85156359
G,10,0.007616146,26.95489554,23.96000004,14.87105773,45.1924025,44.36999969,16.39875172
H,7,0.005331302,20.285925,19.05,11.46345054,34.84244167,31.30999966,14.45632268
I,1,0.000761615,19.7639989,19.03999987,7.625783287,29.65588029,29.52000008,7.429886119
J,4,0.003046458,24.75210935,24.42000008,9.066176569,46.25298611,46.33000031,8.389037502
